quarter,department,category,revenue,direct_cost,gross_margin,opex_salary,opex_tools,opex_travel,opex_other,opex_total,operating_income
2025-Q1,Cloud Platform,Product,2850000,1280000,1570000,980000,185000,42000,52000,1259000,311000
2025-Q1,Data Analytics,Product,1820000,780000,1040000,720000,142000,38000,48000,948000,92000
2025-Q1,AI Services,Product,960000,520000,440000,480000,96000,28000,35000,639000,-199000
2025-Q1,Professional Services,Service,1420000,890000,530000,520000,48000,82000,38000,688000,-158000
2025-Q1,Technical Support,Service,680000,210000,470000,380000,35000,22000,28000,465000,5000
2025-Q2,Cloud Platform,Product,3120000,1390000,1730000,1020000,192000,45000,55000,1312000,418000
2025-Q2,Data Analytics,Product,1980000,850000,1130000,750000,148000,40000,50000,988000,142000
2025-Q2,AI Services,Product,1120000,580000,540000,510000,102000,30000,38000,680000,-140000
2025-Q2,Professional Services,Service,1580000,980000,600000,540000,52000,88000,42000,722000,-122000
2025-Q2,Technical Support,Service,720000,225000,495000,395000,38000,24000,30000,487000,8000
2025-Q3,Cloud Platform,Product,3380000,1500000,1880000,1060000,198000,48000,58000,1364000,516000
2025-Q3,Data Analytics,Product,2150000,920000,1230000,780000,155000,42000,52000,1029000,201000
2025-Q3,AI Services,Product,1280000,640000,640000,540000,108000,32000,40000,720000,-80000
2025-Q3,Professional Services,Service,1720000,1050000,670000,560000,56000,92000,45000,753000,-83000
2025-Q3,Technical Support,Service,780000,240000,540000,410000,40000,25000,32000,507000,33000
2025-Q4,Cloud Platform,Product,3650000,1620000,2030000,1100000,205000,52000,62000,1419000,611000
2025-Q4,Data Analytics,Product,2320000,990000,1330000,810000,162000,45000,55000,1072000,258000
2025-Q4,AI Services,Product,1450000,710000,740000,570000,112000,35000,42000,759000,-19000
2025-Q4,Professional Services,Service,1880000,1120000,760000,580000,60000,98000,48000,786000,-26000
2025-Q4,Technical Support,Service,840000,255000,585000,430000,42000,28000,34000,534000,51000
