sku_id,sku_name,category_l1,category_l2,category_l3,brand,supplier,unit_price,cost_price,weight_kg,shelf_life_days,min_order_qty,stock_quantity,reorder_point,lead_time_days,abc_class,is_active
SKU010001,冰箱-标准版,家用电器,大家电,冰箱,华为,华东仓配中心,2719.71,1325.58,29.64,540,1,2553,510,14,B,1
SKU010002,冰箱-升级版,家用电器,大家电,冰箱,华为,跨境保税仓,5381.09,3544.59,30.93,0,2,1833,366,32,C,1
SKU010003,冰箱-旗舰版,家用电器,大家电,冰箱,三只松鼠,西南仓储,735.49,469.7,40.76,90,2,1957,391,43,B,0
SKU010004,洗衣机-标准版,家用电器,大家电,洗衣机,苹果,品牌直销,3240.57,2281.26,36.79,180,10,3115,623,12,C,1
SKU010005,洗衣机-升级版,家用电器,大家电,洗衣机,格力,产地直供,3289.96,1445.54,8.74,0,5,2855,571,19,B,1
SKU010006,洗衣机-旗舰版,家用电器,大家电,洗衣机,农夫山泉,华东仓配中心,7188.91,4885.0,28.2,540,2,2655,531,7,A,1
SKU010007,空调-标准版,家用电器,大家电,空调,伊利,海外直采,7463.47,3545.64,30.82,0,10,256,51,27,A,1
SKU010008,空调-升级版,家用电器,大家电,空调,小米,品牌直销,4116.47,1848.21,11.33,90,2,711,142,43,B,1
SKU010009,空调-旗舰版,家用电器,大家电,空调,农夫山泉,华北分销商,6855.84,3105.22,4.66,365,1,4208,841,17,C,1
SKU010010,热水器-标准版,家用电器,大家电,热水器,戴森,品牌直销,1463.02,856.84,41.99,365,2,686,137,39,C,1
SKU010011,热水器-升级版,家用电器,大家电,热水器,索尼,总代理,5390.85,3934.93,19.67,365,1,2545,509,22,A,1
SKU010012,热水器-旗舰版,家用电器,大家电,热水器,大疆,总代理,4871.89,3493.51,5.71,0,10,3610,722,15,C,1
SKU010013,油烟机-标准版,家用电器,大家电,油烟机,苹果,西南仓储,2544.81,1123.94,34.92,540,1,2527,505,33,B,1
SKU010014,油烟机-升级版,家用电器,大家电,油烟机,伊利,华北分销商,542.79,270.16,36.73,365,5,3000,600,3,C,1
SKU010015,油烟机-旗舰版,家用电器,大家电,油烟机,苹果,西南仓储,990.19,447.71,21.26,270,10,3101,620,30,B,1
SKU010016,电饭煲-标准版,家用电器,小家电,电饭煲,小米,海外直采,2656.09,955.43,12.91,270,2,696,139,34,C,1
SKU010017,电饭煲-升级版,家用电器,小家电,电饭煲,伊利,西南仓储,3939.34,2347.91,10.2,90,1,1284,256,43,C,1
SKU010018,电饭煲-旗舰版,家用电器,小家电,电饭煲,小米,华南供应链,2906.23,1491.48,30.78,90,10,4955,991,9,B,1
SKU010019,微波炉-标准版,家用电器,小家电,微波炉,三只松鼠,华南供应链,8189.11,3565.96,7.36,90,10,1157,231,44,C,1
SKU010020,微波炉-升级版,家用电器,小家电,微波炉,联想,跨境保税仓,2080.13,1242.71,7.14,540,2,3252,650,37,C,1
SKU010021,微波炉-旗舰版,家用电器,小家电,微波炉,戴森,西南仓储,6123.48,3209.07,21.83,90,5,1121,224,37,C,1
SKU010022,吸尘器-标准版,家用电器,小家电,吸尘器,美的,跨境保税仓,5801.24,2833.92,26.81,540,1,3056,611,13,A,1
SKU010023,吸尘器-升级版,家用电器,小家电,吸尘器,格力,华东仓配中心,7284.69,3067.09,5.98,0,10,4265,853,16,C,1
SKU010024,吸尘器-旗舰版,家用电器,小家电,吸尘器,格力,西南仓储,6709.87,3179.62,15.65,90,2,4869,973,21,C,1
SKU010025,电风扇-标准版,家用电器,小家电,电风扇,元气森林,华东仓配中心,2162.21,1430.61,12.32,540,2,2237,447,27,C,1
