date,department,cost_center,account_name,account_type,debit_amount,credit_amount,voucher_id,description,currency,exchange_rate
2024-01-01,AI研究院,CC数据05,绩效奖金,opex_salary,8652.65,8898.96,V-100001,绩效奖金-2024-01-01-07,CNY,1.0
2024-01-01,云平台事业部,CC企业01,研发工具费,opex_rd,16362.33,16948.17,V-100002,研发工具费-2024-01-01-62,CNY,1.0
2024-01-01,云平台事业部,CCAI02,招待费,opex_admin,0,0.0,V-100003,招待费-2024-01-01-29,CNY,1.0
2024-01-02,AI研究院,CCAI04,社保公积金,opex_salary,9140.6,9450.5,V-100004,社保公积金-2024-01-02-50,CNY,1.0
2024-01-02,云平台事业部,CC云平04,运维服务收入,income,53731.32,54739.66,V-100005,运维服务收入-2024-01-02-24,CNY,1.0
2024-01-02,技术支持部,CCAI03,折旧摊销,opex_da,878.3,919.18,V-100006,折旧摊销-2024-01-02-65,CNY,1.0
2024-01-02,技术支持部,CC数据04,招待费,opex_admin,6351.88,6507.88,V-100007,招待费-2024-01-02-92,CNY,1.0
2024-01-02,数据智能部,CC技术05,差旅交通,opex_admin,0,0.0,V-100008,差旅交通-2024-01-02-84,CNY,1.0
2024-01-02,数据智能部,CC企业03,专利注册费,opex_rd,12919.62,12735.23,V-100009,专利注册费-2024-01-02-30,CNY,1.0
2024-01-03,技术支持部,CCAI04,坏账准备,opex_other,10248.37,10092.46,V-100010,坏账准备-2024-01-03-97,CNY,1.0
2024-01-03,云平台事业部,CC技术01,带宽流量成本,cogs,39999.3,40575.19,V-100011,带宽流量成本-2024-01-03-73,EUR,6.6807
2024-01-03,企业服务部,CCAI01,软件许可成本,cogs,21119.43,21355.86,V-100012,软件许可成本-2024-01-03-52,CNY,1.0
2024-01-03,技术支持部,CC企业03,办公租金,opex_admin,8413.93,8789.88,V-100013,办公租金-2024-01-03-84,CNY,1.0
2024-01-03,技术支持部,CC企业02,服务器成本,cogs,33291.97,34086.57,V-100014,服务器成本-2024-01-03-96,CNY,1.0
2024-01-03,技术支持部,CC企业05,差旅交通,opex_admin,8809.29,8874.66,V-100015,差旅交通-2024-01-03-82,CNY,1.0
2024-01-03,数据智能部,CC云平05,差旅交通,opex_admin,3113.76,3257.85,V-100016,差旅交通-2024-01-03-48,JPY,7.6287
2024-01-03,AI研究院,CC云平02,广告投放费,opex_mkt,1512.88,1478.91,V-100017,广告投放费-2024-01-03-17,CNY,1.0
2024-01-03,技术支持部,CC企业05,研发工具费,opex_rd,489.17,478.52,V-100018,研发工具费-2024-01-03-17,EUR,7.1273
2024-01-03,技术支持部,CC技术04,研发工具费,opex_rd,211.84,216.94,V-100019,研发工具费-2024-01-03-68,CNY,1.0
2024-01-03,云平台事业部,CC云平05,测试认证费,opex_rd,7452.07,7611.36,V-100020,测试认证费-2024-01-03-69,CNY,1.0
2024-01-04,数据智能部,CC数据02,研发工具费,opex_rd,2234.9,2159.63,V-100021,研发工具费-2024-01-04-57,CNY,1.0
2024-01-04,技术支持部,CC技术04,绩效奖金,opex_salary,1267.16,1247.75,V-100022,绩效奖金-2024-01-04-77,CNY,1.0
2024-01-04,AI研究院,CC技术02,专利注册费,opex_rd,19395.6,18542.46,V-100023,专利注册费-2024-01-04-07,CNY,1.0
2024-01-04,云平台事业部,CC云平02,软件许可成本,cogs,57651.82,60422.18,V-100024,软件许可成本-2024-01-04-58,CNY,1.0
2024-01-04,AI研究院,CC云平04,服务器成本,cogs,5792.35,5860.98,V-100025,服务器成本-2024-01-04-10,CNY,1.0
2024-01-04,数据智能部,CC企业02,一次性授权收入,income,65419.25,66248.19,V-100026,一次性授权收入-2024-01-04-79,CNY,1.0
2024-01-04,AI研究院,CC技术01,坏账准备,opex_other,6398.17,6576.89,V-100027,坏账准备-2024-01-04-80,JPY,7.0273
